tweet,sentiment
lt gt ju heard news sunni deol join bjp media go crazi news start play gadar dialogu amp play public sentiment la pha elect nail congr coffin,1
rememb attack poster tri make big issu much name hair chowkidar becom india chowkidar fame hair styli jaw habib join bjp,1
tejasvi surya liber like word islam terrori seen numer tv channel display word pa day right winger like rss bjp,1
varun ayushxa main abhi bhi bol raha hun voter vote strateg seat safe bjp delhi,1
clear court zero credibl bjp hater ravi sit judgement amp proclaim everyon blame becau agre ridicul institut decis lik ng becom late fashion,0
bjp northw delhi mp dr uditraj join congr al go back forth tuesday taken prefix name twitter follow elect live,1
bjp tuesday pick singer han raj han candid north delhi snub udit raj threaten leav parti drop,1
bjp bengal mamataoffici post doctor video help cau tmc support lie doctor video said valo kore bjp sarkar k vote diy kabar din mean vote get bjp govt buri mislead,0
mumbai bjp candid,1
ranjandeybjp shivsena tripura lot mirzafar tho support bjp nda sole plea take strong action,1
lok sabha elect live bjp mp udit raj join congr,1
provincialview srivatsayb bye elect bjp poll k vote byndoor,1
smitapraka great leader stood independ opposit candid would withdrawn candidatur left bjp becau selfi inter seat selfl person,1
peopl understand much free public get bjp,1
raj maintain stoic calm mani obviou collect materi expo bjp decid expo hell break oppon scamper cover give rule bjpsena run money,1
ashuto b bjp lo recent assembl elect time countri reject bjp bjp win evm hack sick mental,1
next bjp chief amit shah speak arnab fieri interview elect epicentr varana tweet view tune,1
provincialview srivatsayb vote transfer bye elect sen madhu vote go bjp peak,1
lok sabha poll bjp lawmak udit raj drop parti delhi candid li join congr via ndtv,1
rame bjp pray heartfelt condol famili choo scenario world doe mean becom sit duck mu stand unit protect innoc peopl could us next time,0
lfrayer aggress amp wrong correct mani assimil mani contribut amp assimil well natur invad invad assimil reset becau done far,0
dahakesuya sathi william ndtv incindia question resign bjp candid name announc ask question parliament work constitu two differ thing ticket power accept,1
prove coin side mr sidhu sherryontopp u undo dat b co bjp cell spread di throu whatsapp seem cell great job,1
deepscribbl hi deep like usag wa bengal funni polit game up crush pressur rss door tmc amp cpi ideolog bjp chang dna non castei non commun state,0
narayanan destroy tradit land promot western cultur la year anti bjp answer,0
swami asadowai said swami mind troubl bjp that true,1
abkibarrendeyar sushmaswaraj modi sir say sabka saath sabka vika togeth develop cabinet minist work nation either sushma jee nitin gadgari sure prabhu nirmala sitaraman bjp captain hone sincer devot india,1
narendramodi watch live televis abpnewshindi,1
bjp claim victim polic cpi ea tripura,0
notabl udit raj threaten quit parti deni ticket cont lok sabha elect,1
manjrt new anjalib mrinalpand sir kindli anali statement mr modi elect wr big hope time cm never admit marri big lie crore job gone mani diff cong amp bjp,1
boruahdipa timesnow rapi know hater seem info plea want make understand might like bjp cau ca tum log ism hi rehna n kabhi one nation ka bare soch k nation ki progr k liy vote mat karna,1
cnnnew dr uditraj sob work social reform ensur protect implement constitut right sc st obc amp minor bjp rss prorich amp anti sc st obc minor need peopl toe line action well educ fool understand,1
lok sabha elect live today bjp mp udit raj join congr presenc incindia presid rahulgandhi,1
congr soft hindutva normalis bjp hard hindutva write sagarika gho complet agreement,0
sunetrac better candid inc raje khanna cheerlead bjp akshay kumar,1
polit strang niti kr bjp allianc w one old leader u dine one plate cadr u share booth suddenli one day nk found bjp commun modi entri nation pol quit nda partner old pal lalu surprisngli unpopular,1
iankursingh maheishgirri mahe giri gonna project cm candid delhi import delhi bjp fold soon,1
ragarw satishbahri ha ha ha good point bjp mu oppo propos,1
think bjp good fir phase therefor pm modi project softer side,1
akashbanerje dr uditraj rahulgandhi bjp india haha chowkidar doubl duti night bjp morn congr word rahul ram aisitaisidemo fame fir aaya hai time choo screw us,1
bjp lawmak udit raj drop candid li join congr opportunist turncoat care fulfil person goal good riddanc impr voter shallow intent reveal voter shame conduct doom cong,1
narendramodi chandra babu know top secret bjp evm hack,1
ndtv incindia yesterday man ask ticket bjp today join congr mean,0
nanabaiya gabbarsanghi odishaexpr keonjhar mayurbhanj al huge chanc bjp wine mp seat kendrapada sure shot bhadrak balasor r kalahandi samabalpur hv gud chanc think,1
bjp parti leader prote inter result issu watch live gt gt,1
naveen odisha true new narendra modi tell maximum lie divert peopl odisha voter clever abl judg never byest fal promis bjp narendra modi sinc nm fail fulfil promis year back,1
economictim dr uditraj incindia rahulgandhi thank leav parti peopl like live fr self amp anyth fr us bjp member say right decis parti give lok sabha tkt man,1
money wi plethora initi taken bjp govern current tenur amp major kind impact success failur read,1
everi citizen right expr dissent cant gag use might state democraci fasci state court right censur cop exemplari punish arbitrari u power would order,1
timesnow reason ticket given bjp requir leader cannot surviv without given someth parti enjoy team congr,1
ndeshbhrtar till round bjp lose tri polar vote,0
lok sabha elect live bjp mp udit raj join congr incindia,1
congr talk bjp govt deliv direct benefit transfer poor strengthen nation secur reviv economi bjp govt fulfil promis via namo app,0
rt bjp bengal impact modi tsunami mamataoffici appeal everyon vote bjp fir time made sen elect campaign thank ton didi,1
elect kind poll wave elect need said wave intact take littl time come po poll bjp seem upsw,1
chitraaum serious journali join bjp,0
incindia rahulgandhi good one liabil gone udit raj serial offend often bring embarrass bjp,1
godi media sleep raj thackeray expos modi lie live stage,1
punjabi banda hsphoolka focus novemb kill otherwi involv punjab sikh polit got thrash khalistani canada year ago becau refus support agenda loyal man clo bjp al,1
rame bjp face terrori still idiot bother agre stake holder religion,0
gue udit raj final join right polit parti ran troubl bjp coz got littl enterpris comfort mani complaint biz activ ex ir offici indulg constitu,0
vipul excel analysi sir raghuram rajan gave li default npa modi request investig modi introduc electarol bond collect fund bjp silent old owner jet airway patriot may li,1
bjp mp udit raj join congress parti given ticket ls elect big lo bjp plea vote amp rt,1
mrsfunnybon take reveng induct akshay bjp lol,1
mataonlin mnsadhikrut brutal expos bjp bhartiya jumla parti,0
vivekdbg arvindh vi vibhavjoshi arungiri mnomic think mo journalist read karnataka mood differ allianc perform much better mo journalist believ ye issu bjp get cakewalk lo seat sure ca scenario bjp lo wor,1
bjp mp join congr get live updat,1
enjoy year butter plate bjp dr uditraj becom secular cheat bahujan movement incindia archismohan nationaldastak mahtabnama rahulgandhi withpgv jansatta ashuto b nationalherald,1
opinion ri new cla voter support bjp,1
digvijaya seen dynasti rule year bjp year khichadi incindia take respons share miseri provid answer ea throw stone other difficult show account,0
deni bjp ticket udit raj join congr parti dump bjp extrem upset north delhi ticket deni went han raj han udit raj welcom congr rahulgandhi udit raj live indiatoday say never clo bjp ideolog,1
ani lolz lowlif threaten twitter leav bjp ticket given join congr mu say big lo congr made pretti clear ideolog want seat congrat bjp,1
deni ticket bjp mp udit raj congr watch live tv,1
khiladisarpita aryaakkian narendramodi akshaykumar due respect mi arpita pl dint politic akshay kumar akkian fan akshay kumar movi polit move interest polit compel akshay sir fan support bjp modi aksahi fan acro parti,0
pune bjp look set win sen congr done much better anyon thought could inc receiv end blowout defeat ls assembl amp corpor elect histor low corpor well tide seem turn,1
interceptor told earlier join parti although hungri ticket bjp win like,1
bjp elect committe deserv felicit deni ticket betray smelt design udit raj udit replac eclips,1
sashabeebaba pallavigho yeah u cannot right anymor that pm presid well belong upper cast al kalam sahab made presid bjp regim brahmin,1
think elect everyon give name like amp amp mani carv respect bjp india man develop develop india,1
next la pha maharashtra seat bjp sena mumbai thane bjp clearli ahead even today seat neck neck battl total local elect seat rafal rashtravad,1
thank dr uditraj leav bjp done great servic nation hope never return bjp,1
provincialview srivatsayb bjp peak k vote byndoor madhu scope increa vote kept mind well bye elect bjp lead k byndoor cani go momentum madhu,1
polit parti give ticket new entrant long term loyal parti worker,1
per ground report robu pro modi undercurr exi rural area wherea bsp vote transfer sp shivpal make dent sp well seem bjp would win maximum number seat bjp india manishsnbt bjp mmanishmishra,1
dr uditraj sad know u join congr u get ticket bjp peopl like u come polit earn money amp power amp serv peopl peopl like u r call opportuni rememb max indian popul youth r educ,0
live updat elect congr bjp rahul gandhi pm modi priyanka gandhi vadra sonia gandhi movi world,1
aim overthrow bjp form new govern led rahul gandhi mk stalin,1
httweet incindia look happi battl wait see turncoat treat congr may give u ticket u loo afterward know statu cong bjp mean work loot,0
k ol altnew al got one chap stage part bjp digit villag ad crowd goe wild pull littl stunt,1
ani welcom congr famili one suggest ju remov chowkidaar tag good u su bjp applau,1
true although sp ba muslim amp yadav seem intact fulli back bsp vote seem slide bjp way mainli due polici modi impact poor,0
apatel bjp bengal mamataoffici andhbhakat ju like frog well cant abl see anyth beyond well challeng name bjp rule state project got award uno kanyashre sabujsathi utakar bangla project mamataoffici led got award uno ok,1
candid sanganna karadi hit jd coalit say coalit govt collap soon sanganna karadi deni involv oper kamala inckarnataka bjp karnataka janatad,1
theseen kid entir school hostel quick idea clean,1
bjp might look weak pocket special aft raju sheeti exit nda overal well gap btw nda n upa signific maha difficult cong ncp narrow gap short time recent local n poll elect result show bjp hold groud mh,1
lok sabha poll bjp lawmak udit raj drop parti delhi candid li join congr one chowkidar left chowkidari knew ki,1
bjp chief said three phase vote confid parti win elect huge margin,1
gautamgambhir join almo everi congi start troll abus boxervijend join congr none bjp support talk bad infact could see mani us wish luck spot differ proud ideolog upbring,1
seat r come bjp gujrat interest fact figur r margin go higher one common quot,0
iamsunnydeol bjp india narendramodi amitshah ramlal piyushgoy nsitharaman captabhimanyu amitmalviya good sunni bhai mo welcom join bjp support modiji like see starr campaign behar thank sunni bhai,1
incindia talk bjp india govt deliv direct benefit transfer poor strengthen nation secur reviv economi bjp govt fulfil promis,0
watch pm narendramodi reveal love mango interview actor akshaykumar read,1
bjp lawmak dr uditraj drop parti delhi candid li join congr,1
gitaskapoor tawdevinod dev fadnavi sure drop nota bomb bjp ncp congr solv issu rather make bad,0
mp join congr parti presenc congr presid rahul gandhi watch live,1
dwaipayanm shahid siddiqui u gut u complain ec stop u dumbo u fear major celebr like akshay harm ur elect agenda complain banglad actor la india akshay openli campaign bjp,1
pallavigho good bjp,1
rahulgandhi dr uditraj incindia bjp india bjp mp dr uditraj join incindia parti presenc congr presid rahulgandhi read full stori,1
ju yesterday dr uditraj told sever month ago parliament rahulgandhi told right man wrong parti sinc bjp want deaf dumb dalit,0
ye look almo certain ca hung parliament bsp tr bjd ysrc align bjp even jd bjp back hdk kn cm,1
curiou know dr uditraj deni ticket loksabha perform bjp delhi illumin mu good reason deni know play victim project bjp anti dalit,1
break news join cont elect iamsunnydeol,1
crime women unpreced high convict rate time low narendra modi beti bachao beti padhao anoth flat balloon money went public,1
opposit team start aris question agin evm sign defeat bjp win didnt ari objction mp rajasthan chastisgrgh elect,1
polit war social media continu nation went poll acro state constitu poll twitterindia look like moment,1
congr talk bjp govt deliv direct benefit transfer poor strengthen nation secur reviv economi bjp govt fulfil promis via namo app,0
news dotcom cnnnew turn true mif udit raj join congr campaign parti dalit domin area stre fact bjp respect perform dalit mp like show treat dalit commun larg,1
bjp india territori u forc rule mind heart peopl good bjp antagonis muslim impos hindutva excess u forc creat fertil ground foreign terrori group poach muslim youth terrori,1
timesnow dr uditraj incindia bjp india someon say day politician much de seva given ticket even wait night immedi chang parti realli nice bjp cong ident similar hardli matter parti,1
digvijaya indian armi kill terrorist jai e moham ju one half month need strong govern urg requ elig youngster indian come forward vote bjp,1
timesnow dr uditraj incindia bjp india thing bjp offload burden elect,1
bdutt sometim feel bjp strong ju opposit weak,1
ndtv incindia dalit develop growth power bjp deni ticket becau non perform join anoth parti clearli show much care commun ask vote,1
incindia rahulgandhi fir road show pgv amp ralli kanpur rg sp put weak candid sri praka jaiswal per calcul congr snatch kanpur seat bjp,1
chandrusweb po elect allianc perspect bsp bjp drop amp creat enmiti bsp cong admit,1
forget vote vote bjp support kill otherwi vote hate vote bjp,0
day polic regist fir bjp candid pragya singh thakur bhopal mp alok sanjar file nomin dummi candid seat,1
ani good luck bjp got good riddanc,1
bjp felicit youth carri strike digvijaya singh late news amp updat,0
safe say akshaykumar cont bjp next elect gue play modi movi oberoi kaha mil gaya,1
srkian ye sure mamta hold fortr bjp seat upr nhi jane wali congr left,1
amitshah creat secur india everi vote bjp bhakt doe feel secur go pakistan saalon antin vote wise resi polit hatr stand secular democrat india,1
shauryasharma atishiaap might everyon awar celebr face still matter mo al imag aap parti good bjp abl polari vote well,1
sit mp deni ticket cont lok sabha elect udit raj resign bjp join congr,1
even opposit excit amp alreadi look defeat henc predict sweep bjp pc margin atlea lakh vote even go lakh voter decid beat heat turnout good urban middl cla pc nearli,1
ani thing bjp offload burden elect,1
watch bjp vs congr manifesto better analysi dhruv rathe youtub,1
aam refer poor aam janta india,0
ndtv bjp spent lot money public drama promot much ndtv got,1
modiji true patriot hone selfl hardwork work progr nation may god n mataraniji ble modiji n bjp succ victori wisdom health khushian n bestof luck n everi field life n forthcom elect,1
watch india atlea raj take modi head rajthackeray sir thank expos hidden realiti bjp,0
congr talk bjp govt deliv direct benefit transfer poor strengthen nation secur reviv economi bjp govt fulfil promis,0
feel go clean sweep bjp karnataka second pha,1
mosultankhan look option never vote sad,0
arvindkejriw u bjp phobia better consult ur doctor,1
valmikinaik spokespersoneci ceo goa aamaadmiparti ielvisgom collectorgoa ecisveep goabjp incgoa pradeep prudent aapgoa even spend much money neg campaign even cheat bjp still lo feel amaz,1
question ponder akshaykumar interview right time non polit manner credit given ani consid mouthpiec channel,1
goa mine ban affect area record v high vote savordem curchorem amp sanguem south goa north goa sankhali constitu cm pramod sawant bicholim amp may poriem valpoi high vote keep bjp congr guess,1
bjp kirit solanki seen spend light moment famili complet ls elect,1
ca bjp mla candid vandalis evm,1
parthpunt come treat manchurian fri rice muslim own chine cart dine yesterday night fini meal irani chai outlet own anoth muslim owner frequent everi singl day hatr toward bjp evid,1
singhgagan loveforvijay nhi yaar live illus ca liter ca ye hoga bjp lose come congr gain come realist bjp congr plu,1
break udit raj dr uditraj join congr incindia tuesday threaten quit bjp bjp india given ticket cont lok sabha elect,1
shahidakhtar akshaykumar narendramodi ani ecisveep ecisveep modi constantli take armi elector speech ec spine act ec ju becom associ partner bjp elect ju rememb gujarat poll date announc announc count date benefit modi,1
timesofindia rajthackeray toilet news channel plea clean bjp septictank,1
state regist voter turnout margin higher even bjp india focus retain seat incindia confid make inroad state,1
bjp chief said three phase vote confid parti win elect huge margin form govern full major,1
person worri uddhav thackeray mu work hard keep flock togeth far demonstr orator skill prove cannot afford polit without bjp like keep bjp partner ss loot keep away,0
virsanghvi way journo mo polit parti payrol congr mostli left bjp payrol mean own partial own,1
supriyobabul rahul bjp india bjp bengal asansolbjp bjp cultur wow great,1
bjp india bjp india plz respect ex pm kind video doe suit bjp way think focu develop show congr parti candid bad,1
lol ex chowkidar udit raj congr deni ticket hansraj han delhi bjp,1
year old uncl vote bjp went jami mosqu came home pork parotta kerala realli liber claim fiction friend charmyh hypocri coconut shell,1
one senior colleagu friend tell bjp constitu karnataka face setback time becau jd true bjp abl reach doubl digit credit goe siddaramaiah,1
kurup ever come modi bjp get major,1
bdutt duttabhishek akshaymarath thevaibhavag nilanjanudwin rkarnad dillidura newshtn seen bjp candid usel,1
cast amp social engin heavili tilt favor bjp cm khattar sit mla pc pm modi popular top bjp decim inc corpor poll panipat recent amp defeat joint opposit mgb mayor candid karnal,1
alokshind chetanpawar shendagerahul pune go bjp ye congr ran decent campaign,1
bhimkibeti adshivamsharma ye realli agre opinion plz ca vote favour bjp modi ji new initi develop programm acro countri,1
person expect survey studi gener elect bjp may cro major plu nda may brain plu amp congr may go old score loo futur may depend region parti amp congr dump,1
daili remind today day sinc bjp mla kuldeep sengar arrest rape minor dear bdutt sardesairajdeep zakka jacob nidhi bjp india want sack parti still mla,0
bjp confid win ls elect gordhan zadafia bjp lok sabha incharg,1
matter mani star media peopl bjp payrol answer three peopl ravishndtv kanhaiyakumar rajthackeray incessantli shown true face bjp yet bjp cant answer back saar akshay anupam arnab navika ink samn fail hain,0
shrring narendramodi mean bsp tradit voter vote bjp,0
get angri never take other narendramodi tell akshaykumar read,0
avina plea share pnr amp mobil number quick piyushgoyaloffc railminindia drmmg rpfecr rahulgandhi yadavtejashwi narendramodi,1
main campaign manag bjp avoid campaign parti fir place take respons,1
aman diol r u sure aman diol rd pha favour mgb bjp support anali say bjp sweep pl give ur feedback oll seat neutral wait ur respon sir,1
lok elect ask bjp kilo ka haath congr vijend singh flex bicep via httweet,1
nandinisundar incindia aamaadmiparti incindia aamaadmiparti understand bjp india day may come join rule india elect maya bjp,1
bjp propaganda insult nehru ji wrong fact inform frame nehru ji everyth wrong india right time ye mistak everi person perfect,1
neelabensoni bjp india sure bjp sinc childhood question congr reg dr mandar kasbekar,1
bdutt chilmi filmi mental work villain suppos domin till anti climax happen bjp way worri theatric,0
rahulpandita bjp walk upright counter imagin mean crawl four cour vicari newslaundri orfonlin,0
tehseenp one thing sure peopl lo mental balanc rd may tehsin sir top li tehsin bhai cant imagin situat rd may bjp would get plu seat,1
kumar dr uditraj bjp game nomin candid pm la day nomin cant nomin independ parti,1
one safe bjp seat pan india current factori work favor bjp mla pc bjp sit mla becom popular due develop amp project brought favour cm alloc fund amp person review progr,1
lok elect ask bjp kilo ka haath congr vijend singh flex bicep via httweet,1
congr talk bjp govt deliv direct benefit transfer poor strengthen nation secur reviv economi bjp govt fulfil promis via namo app,0
katyayini collegeblu imsalmansam narendramodi bjp habit hoist peopl pm inc fring extremi mp commun riot case file becom cm long becom pm,0
narendramodi akshaykumar bjp activ ludhiana allianc seat bjp action urban area everybodi know,1
longer clear natur person establ dialogu understand view paid bjp cell person hear understand peddl lie amp hate point engag anyon,0
sabanaqvi region amp cast mudda go big strategi india polit bjp mu learn lessson current elect,1
audaciousqu vasantal hindutva terror victim got relief long legal battl spinl media bootlick bjp silent,1
darshanajardo narendramodi amitshah ommathur bjp prupala jitu vaghani vijayrupanibjp bjp india bjp gujarat luck result mam hope win bigger margin time,1
pmoindia amitshah sushmaswaraj narendramodi great fan ideolog modi jee bjp patrioti develop nation sir life inspir struggl serv nation want meet modi sir part th april road show canu make possibl,1
differ bjp congr know lead us modi ji wherea congr alreadi field th gener pm candid,1
bjp make fanta world ai hoga vai hoga congr candid vijend singh elect news indian expr via indianexpr,1
ivivek nambiar plea give idea dumb bitch ju swoon vicki ca vote bjp,0
sumanthraman cnbctv live worri much incindia gain instead funni joker like bainjal worri bjp,1
republ rahul gandhi accus amit shah front crowd lea much traction draw bjp must file crimin case immedi hesit rahul reli lie insult instig bjp move court immedi hear,1
amitmalviya rahul gandhi accus amit shah front crowd lea much traction draw bjp must file crimin case immedi hesit rahul reli lie insult instig bjp move court immedi hear,1
social media support congr alli make sure congr form govern twitter facebook bjp settl smaller victori like win gener elect bjp india amitmalviya,1
mumbaikar tuesday protest bjp bhopal candid comment martyr hemant karkar kanju marwadii report hwnewsengli,1
bjp india rahul gandhi accus amit shah front crowd lea much traction draw bjp must file crimin case immedi hesit rahul reli lie insult instig bjp move court immedi hear,1
vivekdbg vi vibhavjoshi arungiri mnomic buispeak cong jd allianc made bjp root firm karnataka time northern part karnataka show bjp support,0
rajasthan elect state rule parti lok sabha elect state rule bjp got seat state rule congr got seat state rule bjp got seat trend differ rajasthan go vote state rule congr parti,1
vijayvenk incindia priyankagandhi agre cant defeat modi creat hype seat vote la pha help cong mgb withdraw candid bjp panic modi restric varana la pha,1
nsitharaman wow great maam tn maniratnam creat roja bombay movi geopolt vijaykanth sarath vijay arjun hero carri small gun amp hunt terrorist kashmir movi wait ur call maam,1
pand naveen odisha question new chowkidar baijay jay panda one mp bjd la loksabha question namo amp amit shah chosen mo dissid bjd leader candid bjp current elect,1
bsp pankaj chaudhari jjp aap krishan aggarw inld dharamvir pada noth write candid aap inld amp bsp except fact bsp get usual lakh vote straight bjp vs inc cont peak j vs nj polit,1
askarmalkar itsaditya ekoshapu actor ju normal famili upload pic fb bjp cell use pic without permiss,1
defeat entir narr bjp bengal tru one mahendra satyavachanna aishpaliw smita muk savitritv wisnoo mamata didi send self pick kurta everi year pm modi tell akshay kumar r via abp live app,1
substitut priyankagandhi varana defeat narendramodi mani yadav women reform india assur full cooper defeat bjp togeth,1
bjp nation presid shri amit shah ji dr anil jain inaugur media center varana aniljaindr,0
snsachinnandu yesterday odisha clear bjp wave everywher,1
mohansinha pune bjp fort win lo ratio,1
bjp simulia mla candid padmalochan panda campaign ahead th pha april exud confid win assembl constitu,1
ashuto b bjp dynast much polit parti blind support want see ju,0
samster friedrichpiet win dirti polit r shamel tactic bjp cancer cell ton black money roll anyon win hope reap seedsvof hatr sow,1
iamsunnydeol tara singh bjp great amp congrat sir,1
punjab deni ticket minist vijay sampla say cow slaughter bjp elect news indian expr via indianexpr,1
amit shah say bjp win plu nda plu seat,1
bjp spotter mind good come mind time po within modi ji public,1
seem b understand bw aap amp cong seat new delhi amp ea delhi el wudn hav agre aap benefit eastdelhi bt may may new delhi diff ball game aap offend bureaucrat lot bt vote bjp cong,0
rd pha bjp camp worri though show brave face public calcul gone haywir perticularli bihar amp ms big set back cg al like well,1
bjp win seat nda exceed narendra modi becom prime minist bjp parti chief amitshah,1
bhimkibeti bjp india get seat seat prove standard scale modi retain pm india due hone clean corrupt free imag plz poll bjp modi,1
bjp field sanjay bhatia famili lo assembl elect lo twice panipat urban ac fall karnal pc deni ticket panipat ac match kuldeep sharma term elector succ amp post held pa,1
dhwajm upma narendramodi tajinderbagga aloktiwari sanghavihar darshanajardo crpaatil amitmalviya smritiirani vijayrupanibjp ommathur bjp nsitharaman bjp india great,1
creamconsult convinc say would sugg advic bjp bring strong candid kanhaiya begusarai defeat becau kanhaiya reach parliament go nighmar mani top leader bjp,1
narayanan americai commun terrori kill happen la five year bjp hindu absolut noth vs congr promot nurtur directli indirectli la year hindu practic cultur amp peopl land poor sinner congr,0
dear rajthackeray guy amitmalviya head laawari cadr social media spread fal news hatr,1
httweet narendramodi media question mr deliveri promis list manifesto rather ask silli qe r u tire u manag anger etc pl play role honestli republ aajtak thewir cnnnew bbchindi ndtvindia prannoyroyndtv,0
pm narendra modi ha taken vacat year work hour capabl take difficult decis intent take everyon forward togeth bjp chief amitshah,0
sabanaqvi waglenikhil yearn u would audac discu ca shah bano fortun fail congr govt fuel anti bjp agenda,0
visibl shift toward right base approach come citi congr bjp lack provis even imagin crucial issu like inform worker urban area climat chang,0
